Tweet,Suicide,Clean_Tweet
second some people will still want their food grown the oldfashioned way just like how i buy heritage meats and heirloom seeds,Not Suicide post,second people still want food grown oldfashioned way like buy heritage meat heirloom seed
stop speaking in such a sophisticated way please it's hard for me to keep up,Not Suicide post,stop speaking sophisticated way please 's hard keep
sitting in the sun baking in 30 degrees wonderful,Not Suicide post,sitting sun baking 30 degree wonderful
haha me too it reminds me and my daddy of the monkee's old show same here can't wait lol whattt,Not Suicide post,haha reminds daddy monkee 's old show ca n't wait lol whattt
i cant stop fucking upi amselfish gutless disrespectful spiteful rude self righteous arrogant ignorantim forgetful unfelpful self centeredim stupid clutzy lazy depressed constantly exhausted i havent filled out any of my college applications because i didnt even plan on living this long i just want to die so i can stop disgracing my family and inconveniencing my mom i kind of want to be a ballistician they look at bullets from dead bodies to see what gun it came out of but honestly i am more likely to be the subject of one and i dont have any friends in or out of school why am i like this,Potential Suicide post ,cant stop fucking upi amselfish gutless disrespectful spiteful rude self righteous arrogant ignorantim forgetful unfelpful self centeredim stupid clutzy lazy depressed constantly exhausted havent filled college application didnt even plan living long want die stop disgracing family inconveniencing mom kind want ballistician look bullet dead body see gun came honestly likely subject one dont friend school like
offense or defense passive or violent i cut my wrist and my heartbeat is silent,Potential Suicide post ,offense defense passive violent cut wrist heartbeat silent
dcu su elections today,Not Suicide post,dcu su election today
im so tired of living whats the point of me living if i keep whining,Potential Suicide post ,im tired living whats point living keep whining
i shouldnt want to kill myself i have so many advantages in life all of my immediate family is alive and still involved in my life i have several friends who i frequently talk to i make more than enough money to live on easily but every night i go home and drink hoping i will forget about how much i just want it all to end every single moment that i am sober i spend thinking that people might actually see me for who i really am a lazy waste of space who lucked into success and wheni amdrunk i worry that people will find out thati am trying to slowly kill myself with alcohol fuck i always thought if i could just be successful i would be happy well i am not,Potential Suicide post ,shouldnt want kill many advantage life immediate family alive still involved life several friend frequently talk make enough money live easily every night go home drink hoping forget much want end every single moment sober spend thinking people might actually see really lazy waste space lucked success wheni amdrunk worry people find thati trying slowly kill alcohol fuck always thought could successful would happy well
totally craving chocolate and starbucksonly 4 days left,Not Suicide post,totally craving chocolate starbucksonly 4 day left
i dont think i want to be on twitter anymore i'm not adding to anyone's life here,Potential Suicide post ,dont think want twitter anymore 'm adding anyone 's life
breaking democrats just flipped from big congratulations to congressmanelect,Not Suicide post,breaking democrat flipped big congratulation congressmanelect
i am not sure if it s normal to consider suicide on a normal basis i m an engineer for a larger corporation and lately i ve been thinking what s the point at all,Potential Suicide post ,sure normal consider suicide normal basis engineer larger corporation lately thinking point
voted for 'entry ellisdabomb ' that was incrediblemight have to play some fifa now,Not Suicide post,voted 'entry ellisdabomb ' incrediblemight play fifa
me i want to die and be dead,Potential Suicide post ,want die dead
the girl i was fucking with the one that made me not kill myself a night i was just done is out of being institutionalized,Potential Suicide post ,girl fucking one made kill night done institutionalized
i got 3 hours of sleep last night double shot latte and i'm good,Not Suicide post,got 3 hour sleep last night double shot latte 'm good
oh gosh i didn't think you were that old oh well i'll still like you when your 25 hahaha,Not Suicide post,oh gosh n't think old oh well 'll still like 25 hahaha
i have to go now make up duty for tomorrow goodnight to all,Not Suicide post,go make duty tomorrow goodnight
aww thank you,Not Suicide post,aww thank
i have bipolar 2 disorder and i have become hyper aware of my mood swings they get bad enough where i can barely get out of bed talk to my friends or even work and during the manic episodes i dont sleep maybe 34 hours at night my mind races i make highly unrealistic goals and then get hit again with the crippling depression,Potential Suicide post ,bipolar 2 disorder become hyper aware mood swing get bad enough barely get bed talk friend even work manic episode dont sleep maybe 34 hour night mind race make highly unrealistic goal get hit crippling depression
i have nothing to live for dude shits so sad,Potential Suicide post ,nothing live dude shit sad
typical metro can't even get that right,Not Suicide post,typical metro ca n't even get right
is an awesome photographer,Not Suicide post,awesome photographer
is excited for two more sleeps any she doesn't have to wear the stupid goggles to bed anymore,Not Suicide post,excited two sleep n't wear stupid goggles bed anymore
i get it woooooooooooo,Not Suicide post,get woooooooooooo
i just want to goto that conceso damn bad but would hate myself if i spent 300 on that ticket right now,Potential Suicide post ,want goto conceso damn bad would hate spent 300 ticket right
i would say philosophical,Not Suicide post,would say philosophical
i am not correcting anything i just live my life calmly and i have nothing to do with what is going on this miserable world,Potential Suicide post ,correcting anything live life calmly nothing going miserable world
oh shit this could get out of hand and theres no dancing at my place no hoe down no shindig nada,Not Suicide post,oh shit could get hand there dancing place hoe shindig nada
see ya anastasia have a marvellous day,Not Suicide post,see ya anastasia marvellous day
need to fucking move out already tired of being told what to when to do it and most of all not having a fucking roo,Potential Suicide post ,need fucking move already tired told fucking roo
i should have mine today then,Not Suicide post,mine today
i am so sick and tired of living,Potential Suicide post ,sick tired living
so far it has been all shopping more again today heehee what you up to,Not Suicide post,far shopping today heehee
world has got the right path celebrating d 'matri pitri pujan diwas' started by,Not Suicide post,world got right path celebrating 'matri pitri pujan diwas ' started
cya all later crew i got a bit of work to do,Not Suicide post,cya later crew got bit work
you're up early or out late haha,Not Suicide post,'re early late haha
going to go to school be back around 4,Not Suicide post,going go school back around 4
homework all day 2 assignments due by 430 but they're almost done,Not Suicide post,homework day 2 assignment due 430 're almost done
so i have been in a suicide rehab center for the last month i am just over life it is not sadness or depression i just give up it would just be easier to be dead,Potential Suicide post ,suicide rehab center last month life sadness depression give would easier dead
congratulations jim i'm a great editor not a great media artist,Not Suicide post,congratulation jim 'm great editor great medium artist
is now washed and dressed,Not Suicide post,washed dressed
for the past week ill ive been thinking about is nothing i want to disappear why do i feel so trapped in the li,Potential Suicide post ,past week ill ive thinking nothing want disappear feel trapped li
what did you want me to say,Not Suicide post,want say
the one damn time i dont watch raw becky and the smackdown womens division attack the raw womens division and b,Potential Suicide post ,one damn time dont watch raw becky smackdown womens division attack raw womens division b
leaving house now going to switch to texts,Not Suicide post,leaving house going switch text
yumm jeremy kyle and a bacon sandwich,Not Suicide post,yumm jeremy kyle bacon sandwich
i'm not really feeling the whole 'going to class and being productive' thing todayhooky,Not Suicide post,'m really feeling whole 'going class productive ' thing todayhooky
que screamo voice so cut my wrist and black my eyes,Potential Suicide post ,que screamo voice cut wrist black eye
congratulations to on a race well run and won its been a wonderful honor representing arizona in the senat,Not Suicide post,congratulation race well run wonderful honor representing arizona senat
loves the weather and goes on a bike tour with her doggy now,Not Suicide post,love weather go bike tour doggy
goodnight i really want to fucking kill myself,Potential Suicide post ,goodnight really want fucking kill
fuck you i fucking hate you,Potential Suicide post ,fuck fucking hate
cant believe i lost my damn car keys smh mind you the damn house key is on there this is the 2nd time my drunk a,Potential Suicide post ,cant believe lost damn car key smh mind damn house key 2nd time drunk
muttering i want to die to myself daily for a few months now i feel worthless shes my soulmate i cant live in this horrible world without her i am so lonely i wish i could just turn off the paof my brain that feels,Potential Suicide post ,muttering want die daily month feel worthless shes soulmate cant live horrible world without lonely wish could turn paof brain feel
that skill takes time and iq as a center he could run other bigs off the floor and force other teams to go small a,Potential Suicide post ,skill take time iq center could run bigs floor force team go small
do everything with a good heaand expect nothing in return and you will never be disappointed,Not Suicide post,everything good heaand expect nothing return never disappointed
make sure you email me to enter this month's giveaway makeup from pink quartz minerals,Not Suicide post,make sure email enter month 's giveaway makeup pink quartz mineral
anyway if you cant accept that ive moved on from you sickos go fuck yourself ill just keep avoiding your sorry asses,Potential Suicide post ,anyway cant accept ive moved sickos go fuck ill keep avoiding sorry as
i'm absolutely interested i'll shoot you my info in a dm or of course feel free to share it in a reply and i'll retweet,Not Suicide post,'m absolutely interested 'll shoot info dm course feel free share reply 'll retweet
i accepted benefits from a hostile foreign government and conspired with michael cohen to violate,Potential Suicide post ,accepted benefit hostile foreign government conspired michael cohen violate
caution it can be addictive,Not Suicide post,caution addictive
doctor i'm afraid he may never wake up from his coma,Potential Suicide post ,doctor 'm afraid may never wake coma
god can you herme im tired please kill me i want die,Potential Suicide post ,god herme im tired please kill want die
hahah yeah see i told you coffee bean's chocolate ice blended is way better let me know how's the show tonight,Not Suicide post,hahah yeah see told coffee bean 's chocolate ice blended way better let know 's show tonight
w00t matt elliot third eye foundation playing grv tonight early gig first act 815 curfew 1030 if anyone fancies,Not Suicide post,w00t matt elliot third eye foundation playing grv tonight early gig first act 815 curfew 1030 anyone fancy
i keep fucking up what matters the most to me and i fucking hate myself so god damn much for being like that,Potential Suicide post ,keep fucking matter fucking hate god damn much like
i'm up for it can't wait to here more details,Not Suicide post,'m ca n't wait detail
everything is okay but nothing feels okay i ve always been a bit unhappy as a kid too i think although i can t remember much of my childhood i dont want to kill myself but sometimes that thought just comes creeping and it scares me a little a few weeks ago a problem came up it was a financial problem quite fixable but i just couldn t handle it i tied myself a noose and everything i was going to do it i was all alone in the house with my dog so there was really no one that would be able to stop me i didnt do anything but i felt like i could have done it completely on impulse over a fixable problem leaving behind everything i love and my hopeful future i feel it now too creeping up on me everything should be fine but i cant help the feeling that i should just do it like everything would be easier for everyone if they would just realize how little they need me,Potential Suicide post ,everything okay nothing feel okay always bit unhappy kid think although remember much childhood dont want kill sometimes thought come creeping scare little week ago problem came financial problem quite fixable handle tied noose everything going alone house dog really one would able stop didnt anything felt like could done completely impulse fixable problem leaving behind everything love hopeful future feel creeping everything fine cant help feeling like everything would easier everyone would realize little need
shouldn't that be life in the 'car pool lane' my friend,Not Suicide post,n't life 'car pool lane ' friend
also again i hate making a comeback to rp bcs i caused many bad things that shudnt have happened bub,Potential Suicide post ,also hate making comeback rp bcs caused many bad thing shudnt happened bub
me as a future therapist damn it be like that sometimes,Potential Suicide post ,future therapist damn like sometimes
haha awww i had amazing pizza 2day for much after my photoshoot d i will take you out heheu going to answer ur fone 2night xx,Not Suicide post,haha awww amazing pizza 2day much photoshoot take heheu going answer ur fone 2night xx
yes it is,Not Suicide post,yes
i love you,Not Suicide post,love
my mrs is always telling me off for this sit and enjoy the moment instead of trying to take photos of it,Not Suicide post,mr always telling sit enjoy moment instead trying take photo
wait i take this back i fucking hate living in markham and i want to actually kill myself damn,Potential Suicide post ,wait take back fucking hate living markham want actually kill damn
awww sweetness but he's still a cutie,Not Suicide post,awww sweetness 's still cutie
cute,Not Suicide post,cute
life's so shoman i couldnt stress enough how important it is for you to live your love with peace and good energy,Not Suicide post,life 's shoman couldnt stress enough important live love peace good energy
awesome time tonight i knew you would check twitter before bed ha ha,Not Suicide post,awesome time tonight knew would check twitter bed ha ha
i like the sound of my new job title inventory manager,Not Suicide post,like sound new job title inventory manager
i fucking beg you just leave me here to die i deserve it,Potential Suicide post ,fucking beg leave die deserve
patient i hate myself and i want to die,Potential Suicide post ,patient hate want die
the worst pais i tire easily and i love napping fortunately i dont get tired until after work,Potential Suicide post ,worst pais tire easily love napping fortunately dont get tired work
when chelsea brings me chocolate and diet coke i'm happy again,Not Suicide post,chelsea brings chocolate diet coke 'm happy
i think she was merely directing the comment at you because she thought you might want to know,Not Suicide post,think merely directing comment thought might want know
i do not want all this,Not Suicide post,want
sometimes youll never know how bad you fucked up until one day you wake up with nothing,Potential Suicide post ,sometimes youll never know bad fucked one day wake nothing
liberals say conservatives are evil nothings further from the truth we believe in live amp let live libs think that big,Potential Suicide post ,liberal say conservative evil nothing truth believe live amp let live libs think big
utahwant to take that perfect selfie heres what you should be looking for in your phone camera,Potential Suicide post ,utahwant take perfect selfie here looking phone camera
another year has passed and i am still alone sad and suffering will i ever live with dignity or will,Potential Suicide post ,another year passed still alone sad suffering ever live dignity
i just want to remind yall that without iris barry allen would be dead right now but shes useless right,Potential Suicide post ,want remind yall without iris barry allen would dead right shes useless right
i feel better today got some sleep and its not raining so can take the beasts out,Not Suicide post,feel better today got sleep raining take beast
during revamp and shortly after they're out of now amp in real trouble but i'm going to be good amp not bag them publicy,Not Suicide post,revamp shortly 're amp real trouble 'm going good amp bag publicy
i want to be a businessman,Not Suicide post,want businessman
after effects has frozen and i did not i repeat i did not save my edit i want to actually fucking die it took,Potential Suicide post ,effect frozen repeat save edit want actually fucking die took
oh god sweet nicotine and tar i crave you both so bad today what is wrong with me lol hahaha xx,Not Suicide post,oh god sweet nicotine tar crave bad today wrong lol hahaha xx
welcome to the jungle,Not Suicide post,welcome jungle
chicago illife is hard i never thought id come onto social media to venttalk about my feelings but man my life sucks i dont want attention but i know this tweet makes it look like i do im done streaming youtube and just playing games all together just dont want to be here anymore,Potential Suicide post ,chicago illife hard never thought id come onto social medium venttalk feeling man life suck dont want attention know tweet make look like im done streaming youtube playing game together dont want anymore
i am a 20 year old transgirl who has been on hormones for about 4 months recently i suffered from a depressive episode due to gender dysphoria until about a couple weeks ago i just got a job and i was presenting myself as female and using a female name the only problem is that i still look somewhat masculine so i get stared at constantly and dismissed i cannot connect with any of my coworkers because i look and act strange to them i know i am supposed to wait on these hormones but i am really scared what if they dont work what if i ll get beaten up what if i lose my job due to just being me i want to be happy but its so hard its gotten to the point where all i do is just think about death and hope maybe i will get a do over i just cant take any of this anymore,Potential Suicide post ,20 year old transgirl hormone 4 month recently suffered depressive episode due gender dysphoria couple week ago got job presenting female using female name problem still look somewhat masculine get stared constantly dismissed connect coworkers look act strange know supposed wait hormone really scared dont work get beaten lose job due want happy hard gotten point think death hope maybe get cant take anymore
morning everyone,Not Suicide post,morning everyone
today one year ago i lost a neighbour and friend to so here is a quote that got me through my worst times f,Potential Suicide post ,today one year ago lost neighbour friend quote got worst time f
9 tails or not if he wanted to kill him hed be dead itachi couldve killed him but he didnt want toid,Potential Suicide post ,9 tail wanted kill hed dead itachi couldve killed didnt want toid
congratulations to gorb for graduating middle school we all hope you strive for greatness like you do on cod4,Not Suicide post,congratulation gorb graduating middle school hope strive greatness like cod4
i just had to google quothow to insemicrosd into blackberry boldquot found it though,Not Suicide post,google quothow insemicrosd blackberry boldquot found though
awakehopin my big brother gots time 4 me 2day just a lil bit atleast yay but katelyn might come up to hang with me,Not Suicide post,awakehopin big brother gots time 4 2day lil bit atleast yay katelyn might come hang
happy birthday to the legendary neil young he turns 73 today,Not Suicide post,happy birthday legendary neil young turn 73 today
my name is arya stark i want you to know that the last thing youre ever going to see is a stark smi,Potential Suicide post ,name arya stark want know last thing youre ever going see stark smi
oh hell yeah but that list should be made very passionately oops i ment patiently,Not Suicide post,oh hell yeah list made passionately oops ment patiently
lol yeah they can be loud so depends where your dryer is but they do get rid of the static very sneaky bout the dog lolx,Not Suicide post,lol yeah loud depends dryer get rid static sneaky bout dog lolx
somebody just fucking kill me please,Potential Suicide post ,somebody fucking kill please
too shy for that plus he already stole my brain in my sleep,Not Suicide post,shy plus already stole brain sleep
nah you're not unfortunate i dont eat that stuff cause i want to live a few years longer you're one of the smaones,Not Suicide post,nah 're unfortunate dont eat stuff cause want live year longer 're one smaones
yess i do and im in boston for a college fair and not school hahaa,Not Suicide post,yes im boston college fair school hahaa
we don't have tix just going to attend festivities,Not Suicide post,n't tix going attend festivity
happy birthdaaaaayyy bebe godbless youuu,Not Suicide post,happy birthdaaaaayyy bebe godbless youuu
o yes i am for sure am sooo happy that he checked it out again what time onish jaaaaaah lolm,Not Suicide post,yes sure sooo happy checked time onish jaaaaaah lolm
downloaded the pollock app i quite like it drew a flower lolz,Not Suicide post,downloaded pollock app quite like drew flower lolz
i literally hate myself for reading this damn book,Potential Suicide post ,literally hate reading damn book
better be adding bouncers back then no way yall are dumb enough to add this big a game change then,Potential Suicide post ,better adding bouncer back way yall dumb enough add big game change
i swear to move forward or get ahead in life,Not Suicide post,swear move forward get ahead life
and a following four day week,Not Suicide post,following four day week
i dont want your guns seriously im not sure who does,Potential Suicide post ,dont want gun seriously im sure
awww you'll have to use twitter for company,Not Suicide post,awww 'll use twitter company
we're coming back on sunday or monday,Not Suicide post,'re coming back sunday monday
i just realized that in a month i can celebrate my birthday with watching the wolverine movie then wwe raw nice timing,Not Suicide post,realized month celebrate birthday watching wolverine movie wwe raw nice timing
in the process of making doll no 2 and it's looking heaps better and cuter,Not Suicide post,process making doll 2 's looking heap better cuter
manchester england i just dont want to be here anymore,Potential Suicide post ,manchester england dont want anymore
i cant wait to get this damn nose job so i can take new selfies 'cause i hate every single picture of myself includ,Potential Suicide post ,cant wait get damn nose job take new selfies 'cause hate every single picture includ
wwwyoutubecomtitomi15watch the videoscommentampsuscribe amp follow me cheers x,Not Suicide post,wwwyoutubecomtitomi15watch videoscommentampsuscribe amp follow cheer x
greetings,Not Suicide post,greeting
he is a son of one of my friends,Not Suicide post,son one friend
famp the weather i'm in paris let's go have a beautiful day,Not Suicide post,famp weather 'm paris let 's go beautiful day
im such a disgusting disappointment ive gotten visibly fatter my cheeks are puffy and my stomach has actually de,Potential Suicide post ,im disgusting disappointment ive gotten visibly fatter cheek puffy stomach actually de
im happy i aint the same person i was last year,Not Suicide post,im happy aint person last year
almost broke down at class just because the most negative thoughts are kicking in and i'm mf tired of living hahahahahahahah,Potential Suicide post ,almost broke class negative thought kicking 'm mf tired living hahahahahahahah
i keep repeating to myself kill yourself kill yourself do it already i am ready to listen to my inner thoughts i have attempted in the past but at the last moment either i live through it just in a hellblaze of pain becoming a even bigger failure or my body stops me my mind screams to do it but sometimes my body just stops me sometimes my body will give up on life and i ll lay there wanting to shed a tear yet i know no one will care so i lay quietly in the darkness for days on end i try to drown out the voices with all i have left music but recently i dont care to listen to all i have to do what has stuck with me for all my life i am ready to listen to the voices i m ready to listen to my inner shouts if only i had easier access to guns my life would be so much harder but i dont instead i have to go out in either a more painfull way i hope others continue to have the will to carry on but sadly i think i lost mine,Potential Suicide post ,keep repeating kill kill already ready listen inner thought attempted past last moment either live hellblaze pain becoming even bigger failure body stop mind scream sometimes body stop sometimes body give life lay wanting shed tear yet know one care lay quietly darkness day end try drown voice left music recently dont care listen stuck life ready listen voice ready listen inner shout easier access gun life would much harder dont instead go either painfull way hope others continue carry sadly think lost mine
ouch,Not Suicide post,ouch
going to go cut up some chickeeeen,Not Suicide post,going go cut chickeeeen
i didn't want to think about it,Not Suicide post,n't want think
cotulla tx lacoste tx i just dont want to be here anymore,Potential Suicide post ,cotulla tx lacoste tx dont want anymore
magic rejuvenationhmm i'm thinking triple oxygen mask and a blissage105 hang in there,Not Suicide post,magic rejuvenationhmm 'm thinking triple oxygen mask blissage105 hang
just fuckin kill me,Potential Suicide post ,fuckin kill
looks like you found all the beer,Not Suicide post,look like found beer
i just want to have a friend or a group of friends that dont leave me out,Potential Suicide post ,want friend group friend dont leave
lol today any woman who can handle 7 kids inspires me,Not Suicide post,lol today woman handle 7 kid inspires
,Potential Suicide post ,
i never had to do the most throw shade or hate i can be quiet and bitches still want me dead thats pure hate and i,Potential Suicide post ,never throw shade hate quiet bitch still want dead thats pure hate
im actually tired of this its like living in a home where the troubled deceitful child always wins its not,Potential Suicide post ,im actually tired like living home troubled deceitful child always win
good morning the sun is shining and i am going to the beach with a few bff's see later when i am all tan,Not Suicide post,good morning sun shining going beach bff 's see later tan
but god does not only want us to be happy he wants us to be good,Not Suicide post,god want u happy want u good
photo eatsleepdraw so weird i like it,Not Suicide post,photo eatsleepdraw weird like
yo i seriously need to stop being so damn clingy to peoplelike i'm so bloody annoying i hate myself,Potential Suicide post ,yo seriously need stop damn clingy peoplelike 'm bloody annoying hate
hi thanks for the follow did you finish fob trail,Not Suicide post,hi thanks follow finish fob trail
i dont want them to come for my account literally the only thing keeping me through the miserable existence that,Potential Suicide post ,dont want come account literally thing keeping miserable existence
i am such a loving and caring person,Not Suicide post,loving caring person
i'd like to be linked on your site,Not Suicide post,'d like linked site
wherever the day takes us on route to youlgreave at mo sun is waking up,Not Suicide post,wherever day take u route youlgreave mo sun waking
my sleep was disturbed i am looking to end a career today,Not Suicide post,sleep disturbed looking end career today
well you do spend enough time there that you may as well subsidize your habit,Not Suicide post,well spend enough time may well subsidize habit
tired of living day by day like everythings alright,Potential Suicide post ,tired living day day like everythings alright
i just want to protect you,Not Suicide post,want protect
we had a visit from our lovely zone head today nice,Not Suicide post,visit lovely zone head today nice
we were tired from the conceso we ate noodles instead after wed eaten emily saw photos that the restaurant has,Potential Suicide post ,tired conceso ate noodle instead wed eaten emily saw photo restaurant
i just found a suicide note i'm fine i wrote in april seems like my dates were wrong this year nbc commentators keep,Potential Suicide post ,found suicide note 'm fine wrote april seems like date wrong year nbc commentator keep
go you,Not Suicide post,go
fast amp furious new model original parts a really good film,Not Suicide post,fast amp furious new model original part really good film
ecstatic that walmanow carries sambazon,Not Suicide post,ecstatic walmanow carry sambazon
i was assigned to sit next to the most awesome student in my class y hahaha,Not Suicide post,assigned sit next awesome student class hahaha
congratulations seye for being the latest of the week keep on creating keep on writing and,Not Suicide post,congratulation seye latest week keep creating keep writing
consists of going from failure to failure without loss of enthusiasm winston churchill,Not Suicide post,consists going failure failure without loss enthusiasm winston churchill
no doubt the obama fostered hate division chaos and anarchy they are th,Potential Suicide post ,doubt obama fostered hate division chaos anarchy th
i dont want to be here anymore my parents pressure me too much about getting a job like i am soliciting and such and yet they complain i dont feel comfortable living in my own house anymore all i want is just leave here for good and go to another country,Potential Suicide post ,dont want anymore parent pressure much getting job like soliciting yet complain dont feel comfortable living house anymore want leave good go another country
just fucking kill me already i dont want to be here anymore,Potential Suicide post ,fucking kill already dont want anymore
said he has a job but has time for this shit cant wait to see him next time i go on a maccas run,Potential Suicide post ,said job time shit cant wait see next time go maccas run
thinking of a hamsty bank account that's a good idea to save,Not Suicide post,thinking hamsty bank account 's good idea save
i really like the photo nice interview too,Not Suicide post,really like photo nice interview
i ll be dead just you wait and see my last words before my death for whoever is interestedi am sorry but youre better off without me youll learn to live without me it wont be difficult now i shall die,Potential Suicide post ,dead wait see last word death whoever interestedi sorry youre better without youll learn live without wont difficult shall die
but i know you want to hear about my examinations,Not Suicide post,know want hear examination
feeling numb hate my job i hate waking up everyday i feel nothing feel like i am on autopilot i got dumped 3 months ago almost from a 4 year relationship nothing cheers me up anymore my parents are in another state so i just can t go see them whenever i want i don t know if i could actually end it myself but i do dream of other ways like a car hitting me and killing me instantly i sometimes think of just taking a bunch of pills and letting that be it,Potential Suicide post ,feeling numb hate job hate waking everyday feel nothing feel like autopilot got dumped 3 month ago almost 4 year relationship nothing cheer anymore parent another state go see whenever want know could actually end dream way like car hitting killing instantly sometimes think taking bunch pill letting
got a quotthingquot for doctor chics,Not Suicide post,got quotthingquot doctor chic
im not okay lol i literally cant explain everything so much has happened i dont want to be here anymore wtf is even the point i literally cant i want everything to be over i cant breathe right because of how much im crying i cant do this anymore,Potential Suicide post ,im okay lol literally cant explain everything much happened dont want anymore wtf even point literally cant want everything cant breathe right much im cry cant anymore
i mean my life is miserable so i guess light at the end of the tunnel,Potential Suicide post ,mean life miserable guess light end tunnel
thanks david,Not Suicide post,thanks david
he didn't want her to go out with other man,Not Suicide post,n't want go man
cut my wrist and black my eeeeeyes,Potential Suicide post ,cut wrist black eeeeeyes
happieee birthday to our anni,Not Suicide post,happieee birthday anni
hate the fact that im damn near forced to figure everything out by myself but it must be done,Potential Suicide post ,hate fact im damn near forced figure everything must done
mmm oj scrambled eggs w cheese and toast gilmoregirls too ahhh this day is amazing now if i could only get the dryer to work,Not Suicide post,mmm oj scrambled egg w cheese toast gilmoregirls ahhh day amazing could get dryer work
,Not Suicide post,
i'm all for the fair tax or bush's deficit back something,Not Suicide post,'m fair tax bush 's deficit back something
with mainstream media's reporting amp the increasing occurrence of the fail whale you know eventually your friends will catch on,Not Suicide post,mainstream medium 's reporting amp increasing occurrence fail whale know eventually friend catch
seeing eno on thursday brian eno amp j peter schwalm like pictures pt 2 ntnet,Not Suicide post,seeing eno thursday brian eno amp j peter schwalm like picture pt 2 ntnet
while im fuckin at it buy a shiplease,Not Suicide post,im fuckin buy shiplease
mega monster munch,Not Suicide post,mega monster munch
i can just imagine how much of that howard would want to know,Not Suicide post,imagine much howard would want know
god damn vending machines are so depressing standing at them waiting for your sad little snack like some pavlovian bitch happy tuesday,Not Suicide post,god damn vending machine depressing standing waiting sad little snack like pavlovian bitch happy tuesday
i don't want to be here anymore,Potential Suicide post ,n't want anymore
noticed something interesting about this emoticon vs d totally different emotions only difference is the placement of the eyes,Not Suicide post,noticed something interesting emoticon v totally different emotion difference placement eye
may you live every day of your life jonathan swift,Not Suicide post,may live every day life jonathan swift
ok hold on how can these numbers not be correct anymore if the video is two weeks old strength of schedule and record dont change too much in two weeks and if yall dont care about top 4 why are you here won your division overranked to begin with what else you want,Potential Suicide post ,ok hold number correct anymore video two week old strength schedule record dont change much two week yall dont care top 4 division overranked begin else want
remembering the legendary former sh on his auspicious birthday,Not Suicide post,remembering legendary former sh auspicious birthday
i'm tired of everything pls so i want to die,Potential Suicide post ,'m tired everything pls want die
the road's not the widest and smoothest but there's some great clear views on the way up if you turn your head to the right,Not Suicide post,road 's widest smoothest 's great clear view way turn head right
now scribes can't wear their shoes to any press conference thanks to jarnail singh,Not Suicide post,scribe ca n't wear shoe press conference thanks jarnail singh
just chillin p i mean holidays nothing to do silence only me haha finally my relaxing time with a book typical for me lt3,Not Suicide post,chillin p mean holiday nothing silence haha finally relaxing time book typical lt3
watching this morning and deciding what to do with myself today think i'll keep searching for that elusive job,Not Suicide post,watching morning deciding today think 'll keep searching elusive job
2 wins in 2 weeks congratulations machine,Not Suicide post,2 win 2 week congratulation machine
i am loving you and line at the moment and my bank balance is liking it too great style made affordable,Not Suicide post,loving line moment bank balance liking great style made affordable
lucky for me i'm going to see that show in ny i hope that you will bring it to europe too in the fall i'll be there too,Not Suicide post,lucky 'm going see show ny hope bring europe fall 'll
im so tired today i want to lay in a bed full of boys and just have hugs sounds so good probably look even better,Not Suicide post,im tired today want lay bed full boy hug sound good probably look even better
i have such a nasty habit of comparing myself to other girls damn i hate myself,Potential Suicide post ,nasty habit comparing girl damn hate
yea im tired of living by myself,Potential Suicide post ,yea im tired living
schnes marketingwostimulus package,Not Suicide post,schnes marketingwostimulus package
totally jst started blasting atr at 10am dude my mom is going to kill me but who cares,Not Suicide post,totally jst started blasting atr 10am dude mom going kill care
graham tx i dont want to be here anymore,Potential Suicide post ,graham tx dont want anymore
tim fischer was on to talk about his love for his family and his,Not Suicide post,tim fischer talk love family
all i want rn is to get home and take a fucking shower and die,Potential Suicide post ,want rn get home take fucking shower die
no just didn't know if you thought putting stuff on your cat was phobe instead of phile glad kittys like the dome,Not Suicide post,n't know thought putting stuff cat phobe instead phile glad kitty like dome
i deadass hate my damn psn name i wish i named myself powerpuff234 there is at least one person in every 23 games th,Potential Suicide post ,deadass hate damn psn name wish named powerpuff234 least one person every 23 game th
hello new follwers,Not Suicide post,hello new follwers
oops again its t w i t t e r,Not Suicide post,oops w e r
man i want sancho to succeed here so badly hes a superstar just needs to believe it again,Not Suicide post,man want sancho succeed badly he superstar need believe
thats just the brilliance of tim coming out,Not Suicide post,thats brilliance tim coming
that is pretty awesome it makes me want a smacar now and a cup of tea,Not Suicide post,pretty awesome make want smacar cup tea
the indian roller a bird considered auspicious in india,Not Suicide post,indian roller bird considered auspicious india
it's the same here in new zealand too looking forward to them starting again already have a great night,Not Suicide post,'s new zealand looking forward starting already great night
you make me fucking cry every night and you dont even know it,Potential Suicide post ,make fucking cry every night dont even know
late night gaming with the guys fun times yesterday was a giddy day too lt3,Not Suicide post,late night gaming guy fun time yesterday giddy day lt3
tonight's the last time i'll spothis millajovovichesque hair will finally have a straight do tomorrow,Not Suicide post,tonight 's last time 'll spothis millajovovichesque hair finally straight tomorrow
is the top trend i am surprised but i couldn't have loved it more,Not Suicide post,top trend surprised could n't loved
our plans are coming together nicely i am very happy indeed today,Not Suicide post,plan coming together nicely happy indeed today
is laughing i cant believe flea attacks dougie xx,Not Suicide post,laughing cant believe flea attack dougie xx
some people tweets a lotthats cooli guess,Not Suicide post,people tweet lotthats cooli guess
wow i am adding thay to my list of shit to listen to when i want to die,Potential Suicide post ,wow adding thay list shit listen want die
